Page title,Export ready,Local agent use,Notes,Page type,Priority,Related concepts,Section,Source page number,Status,Tags
21 — Voice Notes Capture,No,Inbound channel for ad-hoc voice input from phone or mic.,Describes how voice notes are captured from phone or mic and queued for processing.,Implementation,Medium,"Speech-to-Text, Phone Dashboard, Knowledge Library Structure",Knowledge / Speech / Interface,21,Planned,"audio, capture, queue, voice-notes"
22 — Speech-to-Text (Local STT),No,Selected STT model and quality notes the router uses for voice intents.,"Covers local STT options (e.g., whisper.cpp, faster-whisper) with model and quality notes.",Reference,High,"Voice Notes Capture, Local Model Catalog, Experiments Log",Knowledge / Speech / Interface,22,Planned,"local, stt, transcription, whisper"
23 — Phone-Accessible Dashboard,No,Primary human-facing surface for interacting with the assistant.,Defines the small dashboard (web UI) used to interact with the assistant from a phone on the LAN.,Implementation,High,"FastAPI Service Layer, Local Security Posture, Voice Notes Capture",Knowledge / Speech / Interface,23,Planned,"dashboard, lan, phone, ui"
24 — Knowledge Library Structure on Disk,No,Predictable file layout the librarian relies on for retrieval.,Maps how exported Markdown is organized on disk so the librarian can find it predictably.,Reference,Medium,"Notion Export Pipeline, Local File Search, Backups",Knowledge / Speech / Interface,24,Planned,"filesystem, layout, library, markdown"
25 — Local Security Posture,No,Bounds for what the assistant should expose and to whom.,"Defines network exposure, auth, secrets handling, and update policy for the mini PC stack.",Concept,High,"Secrets Management, Phone Dashboard, Process Management",Security / MVP / Glossary / Experiments,25,Planned,"auth, network, secrets, security"
26 — Secrets and Config Management,No,Where keys live and how they get rotated.,"Describes how API keys, tokens, and configs are stored and rotated locally.",Implementation,Medium,"Local Security Posture, Python Environment, Backups",Security / MVP / Glossary / Experiments,26,Planned,"config, env, rotation, secrets"
27 — MVP Definition (v0.1),No,Authoritative scope statement the librarian can reference for what is in/out.,Defines the smallest end-to-end working assistant and the cut line for v0.1.,Decision,High,"Router Architecture, Phone Dashboard, Open Questions",Security / MVP / Glossary / Experiments,27,Planned,"milestones, mvp, scope, v0.1"
28 — Glossary of Terms,No,Canonical vocabulary for disambiguation when classifying queries.,"Shared vocabulary for the project (router, skill, librarian, dashboard, etc.).",Glossary,Medium,"Librarian Agent Design, Router Architecture, Tool Registry",Security / MVP / Glossary / Experiments,28,Planned,"definitions, glossary, vocabulary"
29 — Experiments Log,No,Source of empirical results that justify model and routing choices.,"Running log of experiments with models, prompts, routing rules, and quantization choices.",Experiment,Medium,"Local Model Catalog, Model Selection Rules, Speech-to-Text",Security / MVP / Glossary / Experiments,29,Planned,"comparisons, evaluation, experiments, log"
30 — Open Questions and Future Work,No,Backlog the librarian can surface when asked what is unresolved.,Captures unresolved questions and future directions deferred past v0.1.,Reference,Low,"MVP Definition, Experiments Log, Failure Modes",Security / MVP / Glossary / Experiments,30,Planned,"backlog, future, questions"
01 — Local LLM Harnesses: Big Picture,Yes,"Top-level mental map of how a local model actually gets executed; lets the librarian explain why Ollama exists vs vLLM, llama.cpp, LM Studio, etc.","Foundational source page: harness landscape, where Ollama sits, what GGUF is, where STT lives.",Concept,High,"Ollama Runtime Overview, Local Model Catalog (Small Models), Quantization and Why It Matters, FastAPI Service Layer, Speech-to-Text (Local STT)",Foundations and Runtime,1,Draft,"api, architecture, library, local-models, models, ollama, runtime"
04 — Quantization and Why It Matters,Yes,"Lets the librarian explain quant tags (Q4_K_M, Q5_K_M, Q8_0), predict file size and RAM, and pick the right quant per task and hardware.","Foundational source page: how quantization makes 7B-class models fit on a mini PC, and which level to use.",Concept,High,"Local LLM Harnesses: Big Picture, Ollama Runtime Overview, Local Model Catalog (Small Models), Model Selection Rules, Experiments Log",Foundations and Runtime,4,Draft,"comparisons, experiments, local-models, models, ollama"
